Ksp Value,AtomicNumber,AtomicMass,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,MeltingPoint,BoilingPoint,Density,ElementCount
1e-32,0.04712041884816753,0.037607885844278585,0.3462365591397849,0.22556390977443597,0.4931659434246862,0.10393198724760899,0.1414807049781136,0.352683580835333,0.08265650931047146,0.1111111111111111
3.266666666666667e-19,0.08900523560209425,0.07316004500190972,0.6752688172043011,0.37593984962406024,0.5985426867472674,0.24094048884165786,0.08734283395697198,0.18734282370741726,0.06655646062430964,0.4444444444444444
0.008,0.2931937172774869,0.27859929192043303,0.6154838709677422,0.6676691729323307,0.5639895110574804,0.42159404888416585,0.112301095027148,0.15745083851470434,0.13180341214203145,0.33333333333333337
8.666666666666668e-08,0.2020942408376963,0.19334876082183,0.5625806451612902,0.6285714285714286,0.5485624115285546,0.22055260361317752,0.5442064341698658,0.5135215124966748,0.11323917494481288,0.33333333333333337
4e-09,0.22513089005235606,0.21063226614960728,0.5408602150537636,0.6090225563909772,0.4942566078017312,0.19941551540913938,0.28255585933626504,0.3266704075012281,0.18125246940506903,0.4444444444444444
6e-06,0.31937172774869116,0.3124844521964816,0.6903225806451614,0.6365914786967419,0.8113614740213027,0.7450584484590861,0.16282128857436004,0.2640578905847435,0.1164917628996766,0.1111111111111111
0.008666666666666666,0.12827225130890052,0.12590160896098707,0.33225806451612905,0.2756892230576442,0.6518460074722117,0.09373007438894793,0.055163181508186915,0.08529374982182811,0.04999273543007425,0.4444444444444444
1.3333333333333336e-07,0.34973821989528797,0.337624444581752,0.5767741935483872,0.7127819548872179,0.5260343907363145,0.39232731137088206,0.12698105609105056,0.16932600656933336,0.17188278545038002,0.33333333333333337
5.666666666666667e-08,0.21269633507853405,0.204733324493384,0.5379032258064518,0.40977443609022535,0.6461896363678559,0.3028892136025506,0.06262888475603215,0.07429807064332566,0.10126266211822058,0.6666666666666666
1.1666666666666668e-06,0.2722513089005236,0.2566277126862086,0.5946236559139784,0.6591478696741855,0.5017984359408723,0.2057917109458024,0.35500452298221363,0.48172833432918605,0.2372241216900796,0.4444444444444444
