"Compound Name","Compound Formula","Ksp Value"
neodymium carbonate,Nd2(CO3)3,1.1 × 10-33
nickel(II) carbonate,NiCO3,1.4 × 10-7
nickel(II) hydroxide,Ni(OH)2,5.5 × 10-16
nickel(II) iodate,Ni(IO3)2,4.7 × 10-5
nickel(II) phosphate,Ni3(PO4)2,4.7 × 10-32
nickel(II) sulfide (alpha),NiS,4.0 × 10-20
nickel(II) sulfide (beta),NiS,1.3 × 10-25
palladium(II) thiocyanate,Pd(SCN)2,4.4 × 10-23
potassium hexachloroplatinate,K2PtCl6,7.5 × 10-6
potassium perchlorate,KClO4,1.1 × 10-2
potassium periodate,KIO4,3.7 × 10-4
praseodymium hydroxide,Pr(OH)3,3.4 × 10-24
radium iodate,Ra(IO3)2,1.2 × 10-9
radium sulfate,RaSO4,3.7 × 10-11
rubidium perchlorate,RuClO4,3.0 × 10-3
scandium fluoride,ScF3,5.8 × 10-24
scandium hydroxide,Sc(OH)3,2.2 × 10-31
silver(I) acetate,AgCH3COO,1.9 × 10-3
silver(I) arsenate,Ag3AsO4,1.0 × 10-22
silver(I) bromate,AgBrO3,5.4 × 10-5
silver(I) bromide,AgBr,5.4 × 10-13
silver(I) carbonate,Ag2CO3,8.5 × 10-12
silver(I) chloride,AgCl,1.8 × 10-10
silver(I) chromate,Ag2CrO4,1.1 × 10-12
silver(I) cyanide,AgCN,6.0 × 10-17
silver(I) iodate,AgIO3,3.2 × 10-8
silver(I) iodide,AgI,8.5 × 10-17
silver(I) oxalate,Ag2C2O4,5.4 × 10-12
silver(I) phosphate,Ag3PO4,8.9 × 10-17
silver(I) sulfate,Ag2SO4,1.2 × 10-5
silver(I) sulfite,Ag2SO3,1.5 × 10-14
silver(I) sulfide,Ag2S,8.0 × 10-51
silver(I) thiocyanate,AgSCN,1.0 × 10-12
strontium arsenate,Sr3(AsO4)2,4.3 × 10-19
strontium carbonate,SrCO3,5.6 × 10-10
strontium fluoride,SrF2,4.3 × 10-9
strontium iodate,Sr(IO3)2,1.1 × 10-7
strontium iodate monohydrate,Sr(IO3)2 · H2O,3.8 × 10-7
strontium iodate hexahydrate,Sr(IO3)2 · 6H2O,4.6 × 10-7
strontium oxalate,SrC2O4,5.0 × 10-8
strontium sulfate,SrSO4,3.4 × 10-7
thallium(I) bromate,TlBrO3,1.1 × 10-4
thallium(I) bromide,TlBr,3.7 × 10-6
thallium(I) chloride,TlCl,1.9 × 10-4
thallium(I) chromate,Tl2CrO4,8.7 × 10-13
thallium(III) hydroxide,Tl(OH)3,1.7 × 10-44
thallium(I) iodate,TlIO3,3.1 × 10-6
thallium(I) iodide,TlI,5.5 × 10-8
thallium(I) thiocyanate,TlSCN,1.6 × 10-4
thallium(I) sulfide,Tl2S,6.0 × 10-22
tin(II) hydroxide,Sn(OH)2,5.5 × 10-27
yttrium carbonate,Y2(CO3)3,1.0 × 10-31
yttrium fluoride,YF3,8.6 × 10-21
yttrium hydroxide,Y(OH)3,1.0 × 10-22
yttrium iodate,Y(IO3)3,1.1 × 10-10
zinc arsenate,Zn3(AsO4)2,2.8 × 10-28
zinc carbonate,ZnCO3,1.5 × 10-10
zinc carbonate monohydrate,ZnCO3 · H2O,5.4 × 10-11
zinc fluoride,ZnF,3.0 × 10-2
zinc hydroxide,Zn(OH)2,3.0 × 10-17
zinc iodate dihydrate,Zn(IO3)2 · 2H2O,4.1 × 10-6
zinc oxalate dihydrate,ZnC2O4 · 2H2O,1.4 × 10-9
zinc selenide,ZnSe,3.6 × 10-26
zinc selenite monohydrate,ZnSe · H2O,1.6 × 10-7
zinc sulfide (α),ZnS,2.0 × 10-25
zinc sulfide (β),ZnS,3.0 × 10-23
